price,carat,city,depth,table,x,y,z,clarity,color,cut
505,0.32,Kimberly,63.0,57.0,4.35,4.38,2.75,VS2,H,Very Good
2686,0.71,Las Vegas,65.5,55.0,5.62,5.53,3.65,VS1,G,Fair
738,0.41,Kimberly,63.8,56.0,4.68,4.72,3.0,SI1,D,Good
9057,1.52,Tel Aviv,61.2,57.0,7.45,7.39,4.54,SI2,F,Ideal
557,0.31,Zurich,61.8,54.2,4.33,4.37,2.69,VS1,H,Ideal
6741,1.14,Antwerp,61.7,56.0,6.71,6.75,4.15,SI1,G,Ideal
1040,0.44,Las Vegas,62.3,59.0,4.88,4.84,3.03,SI1,E,Premium
4284,1.02,Tel Aviv,58.0,58.0,6.84,6.6,3.9,SI1,I,Premium
3101,0.93,Madrid,62.3,57.0,6.2,6.22,3.87,SI2,I,Ideal
14507,1.51,Paris,60.1,58.0,7.48,7.45,4.49,VS1,G,Premium
10349,1.65,Surat,61.6,55.0,7.58,7.62,4.68,SI2,H,Ideal
6006,1.5,Paris,57.5,63.0,7.53,7.49,4.32,SI2,G,Good
1207,0.43,Amsterdam,62.1,56.0,4.85,4.87,3.02,VS1,D,Ideal
983,0.38,Surat,60.8,61.0,4.66,4.65,2.83,VS2,G,Premium
3548,0.85,Luxembourg,61.9,56.0,6.08,6.1,3.77,VS1,I,Ideal
1740,0.71,London,62.0,59.0,5.69,5.65,3.52,SI2,G,Premium
12932,1.3,Amsterdam,61.3,56.0,7.03,7.06,4.32,IF,G,Ideal
2873,1.0,London,61.7,56.0,6.45,6.41,3.97,SI2,I,Ideal
6216,1.0,Antwerp,61.6,54.0,6.49,6.46,3.99,VS2,G,Premium
3568,0.9,New York City,61.7,56.0,6.16,6.09,3.78,SI1,D,Premium
7066,1.55,Antwerp,63.2,57.0,7.35,7.31,4.64,SI1,H,Very Good
3054,1.01,Antwerp,61.1,60.0,6.46,6.41,3.93,SI2,H,Premium
743,0.35,Amsterdam,62.0,53.9,4.5,4.53,2.8,VVS1,H,Ideal
5717,1.19,Surat,60.2,57.0,6.84,6.87,4.13,SI2,E,Ideal
2422,0.7,Kimberly,62.1,56.0,5.65,5.68,3.52,VS1,H,Very Good
2553,0.8,Kimberly,63.2,54.0,5.93,5.88,3.73,SI1,H,Very Good
2858,0.71,Antwerp,63.5,59.0,5.68,5.59,3.58,VS2,E,Very Good
5292,1.0,Zurich,60.3,58.0,6.47,6.43,3.89,SI1,F,Premium
1240,0.5,Surat,62.4,57.0,5.07,5.03,3.15,SI2,E,Ideal
2587,0.64,Antwerp,61.8,54.0,5.53,5.56,3.42,VVS2,G,Ideal
3648,0.8,Surat,62.2,57.0,5.95,5.98,3.71,VS2,E,Ideal
866,0.38,Kimberly,61.8,58.0,4.61,4.64,2.86,VS2,E,Premium
625,0.31,Antwerp,62.1,55.0,4.33,4.37,2.7,VS1,G,Ideal
3830,1.0,New York City,55.2,64.0,6.69,6.64,3.68,SI1,H,Fair
3184,0.78,Surat,61.7,55.0,5.94,5.89,3.65,VS2,G,Ideal
2399,0.7,New York City,60.3,63.0,5.77,5.73,3.47,VS1,H,Very Good
